Day,Produced,Pass,Fail,Released,CarryOver,Stock
2,540,540,0,0,0,540
3,540,540,0,540,0,540
4,540,540,0,540,0,540
5,540,540,0,540,0,540
6,540,540,0,540,0,540
7,540,540,0,540,0,540
8,540,540,0,540,0,540
9,540,540,0,540,0,540
10,540,540,0,540,0,540
11,540,540,0,540,0,540
12,540,540,0,540,0,540
13,540,540,0,540,0,540
14,540,540,0,540,0,540
15,270,270,0,540,0,270
16,0,0,0,270,0,0
