Day,Produced,Pass,Fail,Released,CarryOver,Stock
1,2,2,0,0,0,2
2,2,2,0,2,0,2
3,2,2,0,2,0,2
4,2,2,0,2,0,2
5,2,2,0,2,0,2
6,2,2,0,2,0,2
7,2,2,0,2,0,2
8,2,2,0,2,0,2
9,2,2,0,2,0,2
10,2,2,0,2,0,2
11,2,2,0,2,0,2
12,2,2,0,2,0,2
13,2,2,0,2,0,2
14,1,1,0,2,0,1
15,0,0,0,1,0,0
